sound,word,test,ChildWordKey,tran,timeLab,f1,f2,f3,f3f2,ChildID
RealWordRep_010L44MS3,rock,Test12,010L44MS3Test12rock,$w,209.9020779,470.908917,2904.891282,3406.341448,501.450166,C010
RealWordRep_010L44MS3,wet,Test13,010L44MS3Test13wet,w:$r,218.0339781,912.8550526,1198.974897,3780.378723,2581.403826,C010
RealWordRep_010L44MS3,web,Test16,010L44MS3Test16web,w,232.602792,529.2182163,2117.999367,3798.610221,1680.610854,C010
RealWordRep_010L44MS3,waiting,Test18,010L44MS3Test18waiting,w,253.1841847,387.1852526,2442.872674,3785.753584,1342.88091,C010
RealWordRep_010L44MS3,running,Test20,010L44MS3Test20running,$w:r,259.7856425,580.4007429,2944.807584,3933.064961,988.2573775,C010
RealWordRep_010L44MS3,walk,Test25,010L44MS3Test25walk,w,278.9299751,718.5572514,2010.450253,3517.461224,1507.010971,C010
RealWordRep_010L44MS3,rocking,Test28,010L44MS3Test28rocking,$w:r,289.5342013,360.7431693,2336.625094,3461.694873,1125.069779,C010
RealWordRep_010L44MS3,window,Test29,010L44MS3Test29window,w,292.7553764,513.047842,2710.494452,4286.132382,1575.63793,C010
RealWordRep_010L44MS3,wind,Test37,010L44MS3Test37wind,w,324.9995146,1225.225502,2941.317677,4649.12816,1707.810483,C010
RealWordRep_010L44MS3,water,Test38,010L44MS3Test38water,w,332.3879274,386.7192975,2529.745444,4179.520101,1649.774657,C010
RealWordRep_010L44MS3,wheel,Test40,010L44MS3Test40wheel,w,364.7334328,525.724649,1500.189866,3808.785897,2308.596031,C010
RealWordRep_010L44MS3,watch,Test64,010L44MS3Test64watch,w:$r,498.3655111,551.0526392,2574.540818,4530.185597,1955.644779,C010
RealWordRep_010L44MS3,reading,Test68,010L44MS3Test68reading,$w:r,519.8926285,1832.39642,2368.298832,4096.168703,1727.86987,C010
RealWordRep_010L44MS3,raisins,Test70,010L44MS3Test70raisins,$w:r,530.2768166,525.7633045,1613.435206,3261.065789,1647.630583,C010
RealWordRep_010L44MS3,ring,Test72,010L44MS3Test72ring,$w,537.2431012,529.2077128,2605.047436,3879.880632,1274.833195,C010
RealWordRep_010L44MS3,washer,Test73,010L44MS3Test73washer,w:$r,540.5202804,453.0662048,1967.499451,3595.910597,1628.411146,C010
RealWordRep_010L44MS3,rain,Test74,010L44MS3Test74rain,$w:r,543.6500225,513.6030497,2271.735858,3357.147154,1085.411296,C010
RealWordRep_010L44MS3,rock,Test75,010L44MS3Test75rock,$w:r,546.7845569,418.6144981,2287.288875,3749.270544,1461.981669,C010
RealWordRep_010L44MS3,red,Test77,010L44MS3Test77red,$w:r,553.5405593,699.3904471,2581.236406,3616.660549,1035.424144,C010
RealWordRep_010L44MS3,rabbit,Test82,010L44MS3Test82rabbit,$w:r,574.6939602,346.9669163,2903.874327,3800.558283,896.6839564,C010
RealWordRep_010L44MS3,wet,Test85,010L44MS3Test85wet,$other,603.8908603,1385.825831,2742.495759,3983.684646,1241.188887,C010
RealWordRep_010L44MS3,web,Test86,010L44MS3Test86web,w,606.9186319,382.2255566,2398.945261,4097.243333,1698.298072,C010
RealWordRep_011L48MS4,wet,Test7,011L48MS4Test7wet,w,107.2082499,671.4060843,2032.63677,3868.838775,1836.202005,C011
RealWordRep_011L48MS4,web,Test12,011L48MS4Test12web,w,154.7943214,485.7995283,1478.565576,3914.013149,2435.447572,C011
